ShipmentID,ProductID,WarehouseID,Carrier,ShipDate,RequestedDate,DeliveredDate,Qty,Revenue,FreightCost,OnTimeFlag,TransitDays
80056,113,2,RegionalX,2024-01-13,2024-01-16,2024-01-17,50,147.5,5.55,0,4
80057,104,4,RegionalX,2024-01-13,2024-01-16,2024-01-17,25,11.25,0.39,0,4
80058,104,3,GroundCo,2024-01-13,2024-01-19,2024-01-24,20,9.0,0.25,0,11
80059,101,1,AirFast,2024-01-14,2024-01-17,2024-01-16,75,90.0,6.28,1,2
80060,113,1,GroundCo,2024-01-14,2024-01-18,2024-01-17,20,59.0,1.95,1,3
80061,107,2,GroundCo,2024-01-14,2024-01-18,2024-01-17,25,95.0,2.42,1,3
80062,111,3,GroundCo,2024-01-14,2024-01-20,2024-01-17,40,380.0,15.97,1,3
80063,108,2,RegionalX,2024-01-14,2024-01-17,2024-01-17,40,216.0,10.02,1,3
80064,112,1,RegionalX,2024-01-14,2024-01-18,2024-01-17,10,157.5,7.46,1,3
80065,107,3,RegionalX,2024-01-15,2024-01-20,2024-01-17,50,190.0,8.95,1,2
80066,102,3,RegionalX,2024-01-15,2024-01-20,2024-01-23,10,16.0,0.86,0,8
80067,102,4,GroundCo,2024-01-15,2024-01-19,2024-01-18,50,80.0,3.09,1,3
80068,112,1,RegionalX,2024-01-15,2024-01-18,2024-01-18,100,1575.0,64.35,1,3
80069,102,4,RegionalX,2024-01-15,2024-01-20,2024-01-19,100,160.0,6.22,1,4
80070,106,3,AirFast,2024-01-16,2024-01-19,2024-01-17,50,495.0,29.69,1,1
80071,106,4,GroundCo,2024-01-16,2024-01-20,2024-01-21,50,495.0,19.37,0,5
80072,109,3,GroundCo,2024-01-16,2024-01-22,2024-01-23,25,300.0,10.06,0,7
80073,115,4,GroundCo,2024-01-16,2024-01-20,2024-01-19,40,279.6,7.86,1,3
80074,102,2,GroundCo,2024-01-17,2024-01-21,2024-01-22,100,160.0,4.46,0,5
80075,107,2,GroundCo,2024-01-17,2024-01-22,2024-01-20,40,152.0,4.54,1,3
80076,102,1,RegionalX,2024-01-17,2024-01-22,2024-01-20,20,32.0,1.5,1,3
80077,111,3,GroundCo,2024-01-17,2024-01-23,2024-01-22,75,712.5,23.78,1,5
80078,105,2,AirFast,2024-01-17,2024-01-18,2024-01-18,25,162.5,11.49,1,1
80079,113,1,GroundCo,2024-01-18,2024-01-23,2024-01-28,25,73.75,2.68,0,10
80080,112,3,GroundCo,2024-01-18,2024-01-24,2024-01-23,20,315.0,13.41,1,5
80081,103,2,GroundCo,2024-01-18,2024-01-24,2024-01-22,25,18.75,0.49,1,4
80082,104,1,RegionalX,2024-01-18,2024-01-21,2024-01-22,25,11.25,0.4,0,4
80083,109,3,GroundCo,2024-01-18,2024-01-23,2024-01-25,10,120.0,5.73,0,7
80084,103,1,AirFast,2024-01-19,2024-01-22,2024-01-21,50,37.5,1.99,1,2
80085,115,3,AirFast,2024-01-19,2024-01-22,2024-01-21,100,699.0,56.23,1,2
80086,115,4,GroundCo,2024-01-19,2024-01-25,2024-01-22,10,69.9,2.0,1,3
80087,109,1,GroundCo,2024-01-19,2024-01-25,2024-01-23,40,480.0,17.62,1,4
80088,106,1,RegionalX,2024-01-19,2024-01-24,2024-01-22,20,198.0,7.63,1,3
80089,109,4,RegionalX,2024-01-20,2024-01-25,2024-01-23,10,120.0,5.39,1,3
80090,110,1,AirFast,2024-01-20,2024-01-22,2024-01-21,25,206.25,14.22,1,1
80091,106,1,GroundCo,2024-01-20,2024-01-25,2024-01-30,25,247.5,7.17,0,10
80092,112,4,RegionalX,2024-01-21,2024-01-24,2024-01-24,25,393.75,20.38,1,3
80093,107,2,RegionalX,2024-01-21,2024-01-24,2024-01-24,50,190.0,7.78,1,3
80094,114,3,GroundCo,2024-01-21,2024-01-26,2024-01-25,50,230.0,7.84,1,4
80095,105,4,GroundCo,2024-01-21,2024-01-27,2024-01-24,40,260.0,7.56,1,3
80096,114,4,GroundCo,2024-01-21,2024-01-25,2024-01-25,40,184.0,6.82,1,4
80097,105,4,RegionalX,2024-01-21,2024-01-24,2024-01-23,40,260.0,9.21,1,2
80098,111,4,GroundCo,2024-01-22,2024-01-27,2024-01-26,75,712.5,29.14,1,4
80099,111,2,GroundCo,2024-01-22,2024-01-27,2024-01-25,100,950.0,34.08,1,3
80100,106,4,RegionalX,2024-01-22,2024-01-26,2024-01-25,100,990.0,54.7,1,3
80101,114,1,GroundCo,2024-01-22,2024-01-28,2024-01-26,75,345.0,9.25,1,4
80102,101,2,GroundCo,2024-01-22,2024-01-26,2024-01-25,75,90.0,2.81,1,3
80103,111,3,GroundCo,2024-01-23,2024-01-29,2024-01-26,25,237.5,8.19,1,3
80104,113,2,RegionalX,2024-01-23,2024-01-26,2024-01-26,50,147.5,6.45,1,3
80105,111,3,GroundCo,2024-01-23,2024-01-29,2024-01-28,75,712.5,25.34,1,5
80106,114,2,GroundCo,2024-01-23,2024-01-28,2024-01-27,50,230.0,7.04,1,4
80107,115,2,GroundCo,2024-01-23,2024-01-29,2024-01-26,20,139.8,5.51,1,3
80108,109,1,GroundCo,2024-01-23,2024-01-27,2024-01-26,10,120.0,4.68,1,3
80109,112,3,GroundCo,2024-01-24,2024-01-30,2024-01-28,40,630.0,19.85,1,4
80110,105,1,RegionalX,2024-01-24,2024-01-27,2024-01-28,10,65.0,2.29,0,4
80111,104,3,GroundCo,2024-01-24,2024-01-28,2024-01-27,20,9.0,0.17,1,3
80112,113,4,RegionalX,2024-01-24,2024-01-27,2024-01-28,10,29.5,1.12,0,4
80113,101,4,GroundCo,2024-01-24,2024-01-28,2024-01-29,25,30.0,0.81,0,5
80114,113,1,AirFast,2024-01-25,2024-01-28,2024-01-26,20,59.0,4.05,1,1
80115,101,1,GroundCo,2024-01-25,2024-01-30,2024-02-02,75,90.0,2.93,0,8
80116,114,2,GroundCo,2024-01-25,2024-01-29,2024-01-28,10,46.0,1.49,1,3
80117,105,2,AirFast,2024-01-26,2024-01-27,2024-01-28,50,325.0,27.83,0,2
80118,115,4,GroundCo,2024-01-26,2024-01-30,2024-01-29,50,349.5,10.24,1,3
80119,106,4,GroundCo,2024-01-26,2024-01-30,2024-01-30,50,495.0,14.65,1,4
80120,102,2,GroundCo,2024-01-26,2024-02-01,2024-01-31,25,40.0,1.13,1,5
80121,108,1,GroundCo,2024-01-27,2024-02-02,2024-02-01,40,216.0,9.27,1,5
80122,108,2,GroundCo,2024-01-27,2024-02-01,2024-01-30,25,135.0,5.61,1,3
80123,113,4,AirFast,2024-01-27,2024-01-28,2024-01-29,25,73.75,4.67,0,2
80124,102,4,GroundCo,2024-01-27,2024-02-02,2024-01-30,75,120.0,4.11,1,3
80125,112,1,RegionalX,2024-01-27,2024-01-30,2024-01-29,20,315.0,13.57,1,2
80126,102,2,RegionalX,2024-01-28,2024-02-01,2024-02-01,75,120.0,6.1,1,4
80127,110,3,RegionalX,2024-01-28,2024-02-02,2024-02-05,100,825.0,35.68,0,8
80128,110,4,AirFast,2024-01-28,2024-01-30,2024-01-29,50,412.5,24.66,1,1
80129,105,4,GroundCo,2024-01-28,2024-02-01,2024-02-02,75,487.5,13.02,0,5
80130,102,4,RegionalX,2024-01-28,2024-02-01,2024-01-31,20,32.0,1.21,1,3
80131,110,1,RegionalX,2024-01-28,2024-02-02,2024-01-31,75,618.75,23.23,1,3
80132,108,3,GroundCo,2024-01-29,2024-02-04,2024-02-01,100,540.0,23.32,1,3
80133,115,1,GroundCo,2024-01-29,2024-02-03,2024-02-01,25,174.75,4.69,1,3
80134,109,3,RegionalX,2024-01-29,2024-02-02,2024-02-01,20,240.0,13.03,1,3
80135,108,1,RegionalX,2024-01-29,2024-02-03,2024-02-02,40,216.0,9.77,1,4
80136,108,2,GroundCo,2024-01-29,2024-02-03,2024-02-02,40,216.0,7.98,1,4
80137,106,3,GroundCo,2024-01-29,2024-02-04,2024-02-02,10,99.0,3.31,1,4
80138,113,3,GroundCo,2024-01-30,2024-02-04,2024-02-08,40,118.0,3.32,0,9
80139,111,2,GroundCo,2024-01-30,2024-02-04,2024-02-04,75,712.5,19.36,1,5
80140,105,1,GroundCo,2024-01-30,2024-02-05,2024-02-03,10,65.0,2.37,1,4
80141,110,4,GroundCo,2024-01-31,2024-02-05,2024-02-04,75,618.75,20.4,1,4
80142,107,3,RegionalX,2024-01-31,2024-02-04,2024-02-04,100,380.0,13.54,1,4
80143,108,3,GroundCo,2024-01-31,2024-02-05,2024-02-07,25,135.0,4.72,0,7
80144,114,1,RegionalX,2024-01-31,2024-02-03,2024-02-02,50,230.0,8.3,1,2
80145,110,4,RegionalX,2024-01-31,2024-02-05,2024-02-10,50,412.5,14.56,0,10
80146,106,3,GroundCo,2024-01-31,2024-02-06,2024-02-03,100,990.0,33.1,1,3
80147,111,3,GroundCo,2024-02-01,2024-02-06,2024-02-05,25,237.5,6.98,1,4
80148,107,3,RegionalX,2024-02-01,2024-02-06,2024-02-03,40,152.0,7.44,1,2
80149,111,2,RegionalX,2024-02-01,2024-02-06,2024-02-10,20,190.0,7.24,0,9
80150,115,1,GroundCo,2024-02-02,2024-02-07,2024-02-05,25,174.75,6.75,1,3
80151,113,3,RegionalX,2024-02-02,2024-02-06,2024-02-04,40,118.0,4.75,1,2
80152,114,4,GroundCo,2024-02-02,2024-02-08,2024-02-07,25,115.0,3.85,1,5
80153,107,2,GroundCo,2024-02-02,2024-02-06,2024-02-06,20,76.0,2.48,1,4
80154,109,4,GroundCo,2024-02-02,2024-02-06,2024-02-05,10,120.0,3.67,1,3
80155,113,3,RegionalX,2024-02-02,2024-02-07,2024-02-06,20,59.0,2.22,1,4
80156,101,1,GroundCo,2024-02-03,2024-02-07,2024-02-11,25,30.0,1.25,0,8
80157,111,1,GroundCo,2024-02-03,2024-02-09,2024-02-06,100,950.0,26.53,1,3
80158,112,1,GroundCo,2024-02-03,2024-02-09,2024-02-14,100,1575.0,51.85,0,11
80159,104,1,RegionalX,2024-02-04,2024-02-08,2024-02-08,25,11.25,0.31,1,4
80160,112,2,AirFast,2024-02-04,2024-02-05,2024-02-05,20,315.0,30.22,1,1
80161,108,4,GroundCo,2024-02-04,2024-02-08,2024-02-08,50,270.0,10.35,1,4
80162,106,4,GroundCo,2024-02-05,2024-02-10,2024-02-08,20,198.0,6.67,1,3
80163,112,3,RegionalX,2024-02-05,2024-02-10,2024-02-15,10,157.5,5.72,0,10
80164,112,1,RegionalX,2024-02-05,2024-02-10,2024-02-09,100,1575.0,69.46,1,4
80165,115,1,GroundCo,2024-02-06,2024-02-11,2024-02-10,20,139.8,5.81,1,4
80166,115,3,GroundCo,2024-02-06,2024-02-10,2024-02-09,100,699.0,28.93,1,3
80167,111,3,RegionalX,2024-02-06,2024-02-11,2024-02-08,100,950.0,36.31,1,2
80168,102,4,GroundCo,2024-02-06,2024-02-11,2024-02-09,40,64.0,2.67,1,3
80169,112,3,GroundCo,2024-02-06,2024-02-11,2024-02-11,25,393.75,16.36,1,5
80170,112,1,RegionalX,2024-02-07,2024-02-12,2024-02-10,75,1181.25,62.76,1,3
80171,103,1,GroundCo,2024-02-07,2024-02-12,2024-02-10,75,56.25,1.28,1,3
80172,104,2,RegionalX,2024-02-07,2024-02-11,2024-02-10,75,33.75,0.96,1,3
80173,114,2,GroundCo,2024-02-07,2024-02-13,2024-02-11,75,345.0,9.44,1,4
80174,107,3,GroundCo,2024-02-07,2024-02-13,2024-02-10,40,152.0,6.06,1,3
80175,111,2,AirFast,2024-02-07,2024-02-08,2024-02-08,40,380.0,21.48,1,1
80176,110,3,GroundCo,2024-02-08,2024-02-12,2024-02-13,25,206.25,5.55,0,5
80177,109,4,RegionalX,2024-02-08,2024-02-13,2024-02-10,40,480.0,26.03,1,2
80178,104,3,GroundCo,2024-02-08,2024-02-13,2024-02-11,40,18.0,0.44,1,3
80179,114,3,RegionalX,2024-02-08,2024-02-12,2024-02-10,20,92.0,2.85,1,2
80180,105,2,RegionalX,2024-02-08,2024-02-12,2024-02-12,20,130.0,5.4,1,4
80181,101,4,GroundCo,2024-02-08,2024-02-14,2024-02-11,25,30.0,1.16,1,3
80182,112,3,GroundCo,2024-02-09,2024-02-13,2024-02-12,50,787.5,28.99,1,3
80183,106,1,GroundCo,2024-02-09,2024-02-15,2024-02-13,50,495.0,19.31,1,4
80184,103,1,RegionalX,2024-02-09,2024-02-12,2024-02-12,25,18.75,0.77,1,3
80185,103,1,GroundCo,2024-02-09,2024-02-14,2024-02-12,50,37.5,0.96,1,3
80186,103,4,RegionalX,2024-02-09,2024-02-13,2024-02-12,100,75.0,2.35,1,3
80187,115,3,RegionalX,2024-02-09,2024-02-13,2024-02-12,100,699.0,35.83,1,3
80188,112,4,RegionalX,2024-02-10,2024-02-15,2024-02-14,20,315.0,15.66,1,4
80189,108,1,GroundCo,2024-02-10,2024-02-14,2024-02-14,10,54.0,1.67,1,4
80190,112,4,GroundCo,2024-02-10,2024-02-14,2024-02-15,40,630.0,24.2,0,5
80191,108,4,GroundCo,2024-02-10,2024-02-14,2024-02-13,75,405.0,12.18,1,3
80192,105,2,RegionalX,2024-02-10,2024-02-15,2024-02-14,75,487.5,24.52,1,4
80193,110,1,GroundCo,2024-02-11,2024-02-15,2024-02-14,50,412.5,12.69,1,3
80194,108,1,RegionalX,2024-02-11,2024-02-15,2024-02-15,10,54.0,1.94,1,4
80195,106,1,RegionalX,2024-02-11,2024-02-14,2024-02-15,20,198.0,9.6,0,4
80196,108,3,RegionalX,2024-02-11,2024-02-15,2024-02-20,10,54.0,2.87,0,9
80197,112,2,GroundCo,2024-02-12,2024-02-18,2024-02-15,10,157.5,6.56,1,3
80198,109,4,GroundCo,2024-02-12,2024-02-16,2024-02-16,25,300.0,9.5,1,4
80199,114,2,GroundCo,2024-02-12,2024-02-17,2024-02-17,100,460.0,12.28,1,5
80200,105,4,RegionalX,2024-02-12,2024-02-16,2024-02-16,75,487.5,17.04,1,4
80201,111,1,RegionalX,2024-02-12,2024-02-15,2024-02-15,50,475.0,20.12,1,3
80202,102,4,RegionalX,2024-02-13,2024-02-16,2024-02-16,50,80.0,2.91,1,3
80203,109,3,AirFast,2024-02-13,2024-02-14,2024-02-15,75,900.0,62.2,0,2
80204,108,1,GroundCo,2024-02-13,2024-02-17,2024-02-21,40,216.0,6.84,0,8
80205,103,3,RegionalX,2024-02-13,2024-02-17,2024-02-15,50,37.5,1.34,1,2
80206,115,1,GroundCo,2024-02-13,2024-02-18,2024-02-17,50,349.5,13.0,1,4
80207,110,3,GroundCo,2024-02-13,2024-02-17,2024-02-16,50,412.5,11.78,1,3
80208,103,2,RegionalX,2024-02-14,2024-02-17,2024-02-18,10,7.5,0.24,0,4
80209,110,4,RegionalX,2024-02-14,2024-02-19,2024-02-17,40,330.0,17.65,1,3
80210,114,2,GroundCo,2024-02-14,2024-02-20,2024-02-23,10,46.0,1.73,0,9
80211,102,4,GroundCo,2024-02-14,2024-02-19,2024-02-17,10,16.0,0.62,1,3
80212,108,4,RegionalX,2024-02-14,2024-02-19,2024-02-17,75,405.0,18.72,1,3
80213,110,3,RegionalX,2024-02-14,2024-02-19,2024-02-17,75,618.75,21.75,1,3
80214,101,2,GroundCo,2024-02-15,2024-02-21,2024-02-22,10,12.0,0.36,0,7
80215,111,2,RegionalX,2024-02-15,2024-02-20,2024-02-19,40,380.0,13.88,1,4
80216,105,4,GroundCo,2024-02-15,2024-02-19,2024-02-18,40,260.0,9.82,1,3
80217,108,4,GroundCo,2024-02-15,2024-02-20,2024-02-18,100,540.0,17.05,1,3
80218,101,3,GroundCo,2024-02-16,2024-02-22,2024-02-20,75,90.0,3.67,1,4
80219,112,3,GroundCo,2024-02-16,2024-02-21,2024-02-21,40,630.0,24.77,1,5
80220,111,4,GroundCo,2024-02-16,2024-02-22,2024-02-21,10,95.0,2.97,1,5
80221,102,3,AirFast,2024-02-16,2024-02-18,2024-02-18,40,64.0,5.87,1,2
80222,106,4,RegionalX,2024-02-16,2024-02-19,2024-02-18,10,99.0,4.4,1,2
80223,108,2,GroundCo,2024-02-16,2024-02-22,2024-02-21,50,270.0,11.04,1,5
80224,103,3,RegionalX,2024-02-17,2024-02-21,2024-02-21,40,30.0,1.13,1,4
80225,106,4,RegionalX,2024-02-17,2024-02-20,2024-02-20,100,990.0,48.68,1,3
80226,102,4,GroundCo,2024-02-17,2024-02-21,2024-02-20,20,32.0,1.32,1,3
80227,108,3,GroundCo,2024-02-17,2024-02-21,2024-02-24,50,270.0,11.16,0,7
80228,106,2,GroundCo,2024-02-17,2024-02-23,2024-02-20,100,990.0,32.94,1,3
80229,102,2,GroundCo,2024-02-17,2024-02-22,2024-02-21,20,32.0,1.31,1,4
80230,113,3,AirFast,2024-02-18,2024-02-21,2024-02-20,100,295.0,20.26,1,2
80231,112,1,AirFast,2024-02-18,2024-02-20,2024-02-19,40,630.0,60.56,1,1
80232,113,1,RegionalX,2024-02-18,2024-02-23,2024-02-22,10,29.5,0.91,1,4
80233,115,3,GroundCo,2024-02-19,2024-02-25,2024-02-24,25,174.75,6.03,1,5
80234,114,1,GroundCo,2024-02-19,2024-02-24,2024-02-22,25,115.0,4.29,1,3
80235,108,4,RegionalX,2024-02-19,2024-02-22,2024-02-22,10,54.0,2.18,1,3
80236,109,2,GroundCo,2024-02-19,2024-02-25,2024-02-23,25,300.0,12.54,1,4
80237,103,4,RegionalX,2024-02-20,2024-02-24,2024-02-23,20,15.0,0.62,1,3
80238,114,3,AirFast,2024-02-20,2024-02-21,2024-02-22,40,184.0,14.15,0,2
80239,102,1,GroundCo,2024-02-20,2024-02-24,2024-02-24,40,64.0,2.6,1,4
80240,111,2,AirFast,2024-02-20,2024-02-23,2024-02-28,10,95.0,8.37,0,8
80241,107,3,RegionalX,2024-02-21,2024-02-25,2024-02-24,25,95.0,4.69,1,3
80242,110,2,RegionalX,2024-02-21,2024-02-26,2024-02-25,40,330.0,15.29,1,4
80243,110,4,RegionalX,2024-02-21,2024-02-26,2024-02-23,100,825.0,42.64,1,2
80244,102,1,GroundCo,2024-02-21,2024-02-27,2024-02-24,40,64.0,2.33,1,3
80245,109,3,GroundCo,2024-02-21,2024-02-27,2024-02-25,50,600.0,26.52,1,4
80246,103,1,GroundCo,2024-02-21,2024-02-27,2024-02-24,100,75.0,2.43,1,3
80247,112,4,AirFast,2024-02-22,2024-02-25,2024-02-23,10,157.5,10.94,1,1
80248,109,3,GroundCo,2024-02-22,2024-02-28,2024-03-03,100,1200.0,42.7,0,10
80249,112,1,GroundCo,2024-02-22,2024-02-28,2024-03-04,20,315.0,12.96,0,11
80250,111,2,GroundCo,2024-02-22,2024-02-28,2024-02-27,25,237.5,8.42,1,5
80251,103,4,GroundCo,2024-02-22,2024-02-26,2024-02-27,20,15.0,0.36,0,5
80252,108,1,GroundCo,2024-02-23,2024-02-28,2024-02-26,40,216.0,7.29,1,3
80253,103,4,GroundCo,2024-02-23,2024-02-28,2024-02-27,10,7.5,0.22,1,4
80254,109,4,RegionalX,2024-02-23,2024-02-27,2024-02-26,50,600.0,32.19,1,3
80255,108,4,RegionalX,2024-02-23,2024-02-28,2024-02-27,20,108.0,4.63,1,4
80256,112,1,RegionalX,2024-02-23,2024-02-27,2024-02-25,40,630.0,35.62,1,2
80257,115,1,RegionalX,2024-02-24,2024-02-27,2024-02-28,40,279.6,10.87,0,4
80258,109,2,GroundCo,2024-02-24,2024-02-29,2024-02-28,25,300.0,9.16,1,4
80259,103,2,RegionalX,2024-02-24,2024-02-27,2024-03-01,40,30.0,1.24,0,6
80260,104,2,RegionalX,2024-02-24,2024-02-27,2024-02-27,40,18.0,0.42,1,3
80261,101,4,GroundCo,2024-02-24,2024-03-01,2024-02-28,25,30.0,1.19,1,4
80262,114,2,RegionalX,2024-02-25,2024-03-01,2024-02-28,50,230.0,9.92,1,3
80263,103,3,GroundCo,2024-02-25,2024-03-02,2024-02-29,50,37.5,0.92,1,4
80264,107,3,GroundCo,2024-02-25,2024-03-01,2024-03-01,75,285.0,7.6,1,5
80265,103,1,RegionalX,2024-02-25,2024-03-01,2024-02-29,100,75.0,2.15,1,4
80266,109,1,GroundCo,2024-02-25,2024-03-02,2024-02-28,50,600.0,28.77,1,3
80267,109,2,RegionalX,2024-02-25,2024-02-28,2024-02-29,50,600.0,25.03,0,4
80268,105,2,GroundCo,2024-02-26,2024-03-03,2024-03-02,75,487.5,17.38,1,5
80269,107,1,GroundCo,2024-02-26,2024-03-02,2024-03-01,10,38.0,0.97,1,4
80270,109,3,GroundCo,2024-02-26,2024-03-01,2024-03-06,10,120.0,3.98,0,9
80271,103,3,RegionalX,2024-02-27,2024-03-02,2024-03-04,20,15.0,0.41,0,6
80272,106,2,GroundCo,2024-02-27,2024-03-03,2024-03-02,10,99.0,2.96,1,4
80273,115,3,GroundCo,2024-02-27,2024-03-02,2024-03-01,100,699.0,27.05,1,3
80274,110,2,GroundCo,2024-02-27,2024-03-04,2024-03-01,100,825.0,25.7,1,3
80275,108,4,GroundCo,2024-02-28,2024-03-04,2024-03-02,10,54.0,1.68,1,3
80276,110,1,GroundCo,2024-02-28,2024-03-05,2024-03-03,50,412.5,14.91,1,4
80277,108,1,RegionalX,2024-02-28,2024-03-02,2024-03-01,50,270.0,11.1,1,2
80278,103,2,GroundCo,2024-02-28,2024-03-05,2024-03-02,40,30.0,0.97,1,3
80279,114,3,RegionalX,2024-02-28,2024-03-02,2024-03-02,20,92.0,3.28,1,3
80280,114,4,AirFast,2024-02-29,2024-03-03,2024-03-02,100,460.0,27.66,1,2
80281,103,1,GroundCo,2024-02-29,2024-03-06,2024-03-03,40,30.0,0.93,1,3
80282,105,4,GroundCo,2024-02-29,2024-03-05,2024-03-04,50,325.0,11.73,1,4
80283,113,4,GroundCo,2024-02-29,2024-03-05,2024-03-04,75,221.25,8.16,1,4
80284,106,1,AirFast,2024-02-29,2024-03-03,2024-03-02,20,198.0,14.83,1,2
80285,111,2,GroundCo,2024-03-01,2024-03-07,2024-03-05,75,712.5,24.86,1,4
80286,113,1,GroundCo,2024-03-01,2024-03-07,2024-03-04,100,295.0,8.3,1,3
80287,114,4,RegionalX,2024-03-01,2024-03-05,2024-03-05,25,115.0,5.65,1,4
80288,108,3,AirFast,2024-03-02,2024-03-03,2024-03-03,40,216.0,17.83,1,1
80289,111,3,GroundCo,2024-03-02,2024-03-08,2024-03-07,100,950.0,28.23,1,5
